ga_session_id,user_pseudo_id,session_date,total_events,total_engagement_sec,conversions,converted,unique_screens,loan_amount_brl,net_disbursed_brl,platform,app_version,device_os,country,city,traffic_source,traffic_medium,traffic_campaign,state,cluster
1000164673,user_101039,2026-03-27,20,95.6,2,1,6,1500.0,1430.58,ANDROID,7.41.1,Android 14,BR,Salvador,push,push_notification,cross_sell_folha,BA,1
1000264370,user_116774,2026-03-30,17,76.3,2,1,6,3000.0,2769.73,IOS,7.43.0,iOS 18,BR,Rio de Janeiro,crm_email,email,retargeting_preaprovado,RJ,1
1002188072,user_110801,2026-03-09,15,62.8,0,0,5,15000.0,14207.85,IOS,7.42.0,iOS 18,BR,São Paulo,direct,(none),cross_sell_folha,SP,1
1003926535,user_132298,2026-03-29,18,102.8,2,1,6,10000.0,9585.9,IOS,7.42.0,iOS 18,BR,Salvador,in_app_banner,app_internal,cross_sell_folha,BA,1
1004518446,user_114318,2026-03-06,18,87.4,2,1,6,30000.0,29128.18,ANDROID,7.41.0,Android 14,BR,Curitiba,paid_search,cpc,cross_sell_folha,PR,1
1005116913,user_115399,2026-03-25,15,67.9,0,0,5,5000.0,4942.94,IOS,7.42.0,iOS 18,BR,Curitiba,direct,(none),retargeting_preaprovado,PR,1
1006237672,user_118380,2026-03-12,18,85.1,2,1,6,15000.0,14052.79,ANDROID,7.41.0,Android 14,BR,Salvador,crm_email,email,(not set),BA,1
1006615925,user_114527,2026-03-31,17,80.7,2,1,6,30000.0,29021.53,ANDROID,7.43.0,Android 14,BR,Belo Horizonte,direct,(none),always_on_credito,MG,1
1007689899,user_109896,2026-03-05,17,83.8,2,1,6,20000.0,18663.17,ANDROID,7.43.0,Android 14,BR,Porto Alegre,in_app_banner,app_internal,campanha_marco_consignado,RS,1
1008949912,user_121319,2026-03-15,20,93.9,2,1,6,1500.0,1456.34,IOS,7.43.0,iOS 18,BR,Porto Alegre,push,push_notification,retargeting_preaprovado,RS,1
1009488411,user_111332,2026-03-22,18,79.9,2,1,6,1000.0,923.71,ANDROID,7.41.1,Android 14,BR,Rio de Janeiro,in_app_banner,app_internal,retargeting_preaprovado,RJ,1
1010160677,user_129610,2026-03-14,18,96.4,2,1,6,5000.0,4628.33,ANDROID,7.41.1,Android 14,BR,Rio de Janeiro,push,push_notification,cross_sell_folha,RJ,1
1011234720,user_105555,2026-03-09,17,88.4,2,1,6,1000.0,981.08,ANDROID,7.42.0,Android 14,BR,Rio de Janeiro,paid_search,cpc,cross_sell_folha,RJ,1
1012692073,user_125633,2026-03-19,18,70.8,2,1,6,20000.0,19380.34,ANDROID,7.41.1,Android 14,BR,Belo Horizonte,crm_email,email,always_on_credito,MG,1
1014047769,user_109665,2026-03-15,18,76.4,2,1,6,3000.0,2862.24,ANDROID,7.43.0,Android 14,BR,Salvador,organic,organic,cross_sell_folha,BA,1
1014310672,user_128889,2026-03-24,18,103.0,2,1,6,10000.0,9241.79,IOS,7.42.0,iOS 18,BR,Porto Alegre,direct,(none),always_on_credito,RS,1
1017104069,user_104252,2026-03-26,18,94.5,2,1,6,5000.0,4747.29,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,in_app_banner,app_internal,retargeting_preaprovado,MG,1
1022361818,user_109124,2026-03-29,18,88.7,2,1,6,15000.0,14268.88,IOS,7.42.0,iOS 18,BR,Rio de Janeiro,crm_email,email,(not set),RJ,1
1022784721,user_132277,2026-03-21,17,82.5,2,1,6,15000.0,13836.15,IOS,7.41.1,iOS 18,BR,Salvador,organic,organic,campanha_marco_consignado,BA,1
1024631158,user_107834,2026-03-09,17,89.2,2,1,6,30000.0,28386.89,ANDROID,7.42.0,Android 14,BR,Salvador,direct,(none),(not set),BA,1
1025698659,user_127887,2026-03-31,15,62.9,0,0,5,20000.0,18509.42,IOS,7.43.0,iOS 18,BR,Salvador,organic,organic,campanha_marco_consignado,BA,1
1030385394,user_104394,2026-03-10,19,84.6,2,1,6,20000.0,19219.4,ANDROID,7.42.0,Android 14,BR,Curitiba,push,push_notification,retargeting_preaprovado,PR,1
1030498866,user_137856,2026-03-02,18,88.4,2,1,6,30000.0,28294.12,IOS,7.41.0,iOS 18,BR,Curitiba,crm_email,email,retargeting_preaprovado,PR,1
1031414016,user_111160,2026-03-23,17,100.3,2,1,6,1000.0,945.8,ANDROID,7.42.0,Android 14,BR,São Paulo,in_app_banner,app_internal,always_on_credito,SP,1
1031785998,user_127312,2026-03-14,19,74.8,2,1,6,20000.0,18687.51,IOS,7.41.1,iOS 18,BR,Belo Horizonte,organic,organic,campanha_marco_consignado,MG,1
1033560804,user_119015,2026-03-11,18,107.9,2,1,6,15000.0,14580.94,ANDROID,7.42.0,Android 14,BR,São Paulo,organic,organic,campanha_marco_consignado,SP,1
1033946027,user_132800,2026-03-22,20,78.5,2,1,6,5000.0,4842.65,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,crm_email,email,cross_sell_folha,MG,1
1036949225,user_104399,2026-03-11,20,86.0,2,1,6,15000.0,14197.15,IOS,7.41.1,iOS 18,BR,Salvador,push,push_notification,cross_sell_folha,BA,1
1037266152,user_132829,2026-03-28,18,68.7,2,1,6,15000.0,14515.33,ANDROID,7.41.1,Android 14,BR,Belo Horizonte,paid_search,cpc,(not set),MG,1
1038238729,user_112677,2026-03-18,19,92.4,2,1,6,1500.0,1482.27,ANDROID,7.41.1,Android 14,BR,Porto Alegre,organic,organic,cross_sell_folha,RS,1
1038778154,user_101644,2026-03-31,18,102.9,2,1,6,7000.0,6544.79,ANDROID,7.43.0,Android 14,BR,Porto Alegre,paid_search,cpc,campanha_marco_consignado,RS,1
1042752400,user_103239,2026-03-23,20,115.0,2,1,6,1500.0,1394.85,IOS,7.43.0,iOS 18,BR,Porto Alegre,direct,(none),retargeting_preaprovado,RS,1
1043194854,user_105299,2026-03-31,18,80.8,2,1,6,3000.0,2863.77,IOS,7.41.1,iOS 18,BR,Salvador,direct,(none),always_on_credito,BA,1
1046277458,user_118281,2026-03-05,17,85.8,2,1,6,3000.0,2947.68,IOS,7.43.0,iOS 18,BR,Salvador,direct,(none),always_on_credito,BA,1
1046892376,user_132338,2026-03-28,21,103.9,2,1,6,20000.0,18644.56,ANDROID,7.42.0,Android 14,BR,Rio de Janeiro,direct,(none),cross_sell_folha,RJ,1
1051703156,user_101233,2026-03-26,17,64.5,2,1,6,1000.0,987.39,ANDROID,7.41.0,Android 14,BR,São Paulo,push,push_notification,campanha_marco_consignado,SP,1
1056324491,user_100528,2026-03-17,20,95.5,2,1,6,20000.0,19165.23,IOS,7.41.0,iOS 18,BR,Curitiba,crm_email,email,(not set),PR,1
1060665447,user_104562,2026-03-06,19,80.7,2,1,6,5000.0,4700.2,IOS,7.42.0,iOS 18,BR,São Paulo,crm_email,email,cross_sell_folha,SP,1
1063122513,user_133438,2026-03-28,18,78.1,2,1,6,20000.0,19264.96,IOS,7.43.0,iOS 18,BR,Porto Alegre,organic,organic,retargeting_preaprovado,RS,1
1064308384,user_122268,2026-03-02,20,92.0,2,1,6,30000.0,29571.67,IOS,7.43.0,iOS 18,BR,Belo Horizonte,push,push_notification,cross_sell_folha,MG,1
1065260334,user_110465,2026-03-16,18,94.3,2,1,6,1000.0,982.5,IOS,7.41.1,iOS 18,BR,Curitiba,crm_email,email,campanha_marco_consignado,PR,1
1065577155,user_121216,2026-03-07,20,103.4,2,1,6,15000.0,13953.84,IOS,7.41.1,iOS 18,BR,Salvador,push,push_notification,(not set),BA,1
1067116561,user_122058,2026-03-08,18,95.4,2,1,6,30000.0,28251.02,IOS,7.41.0,iOS 18,BR,Rio de Janeiro,crm_email,email,retargeting_preaprovado,RJ,1
1071347684,user_134412,2026-03-06,18,90.2,2,1,6,15000.0,14442.26,ANDROID,7.42.0,Android 14,BR,Belo Horizonte,organic,organic,cross_sell_folha,MG,1
1072390560,user_100478,2026-03-23,16,82.6,0,0,5,2000.0,1858.83,IOS,7.42.0,iOS 18,BR,Belo Horizonte,in_app_banner,app_internal,cross_sell_folha,MG,1
1075574310,user_101288,2026-03-03,16,85.7,0,0,5,2000.0,1975.96,IOS,7.41.0,iOS 18,BR,Salvador,in_app_banner,app_internal,cross_sell_folha,BA,1
1077081260,user_131775,2026-03-06,19,85.6,2,1,6,10000.0,9837.27,ANDROID,7.41.1,Android 14,BR,Curitiba,in_app_banner,app_internal,(not set),PR,1
1078058670,user_114874,2026-03-11,18,80.5,2,1,6,3000.0,2887.84,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,direct,(none),campanha_marco_consignado,MG,1
