ga_session_id,user_pseudo_id,session_date,total_events,total_engagement_sec,conversions,converted,unique_screens,loan_amount_brl,net_disbursed_brl,platform,app_version,device_os,country,city,traffic_source,traffic_medium,traffic_campaign,state,cluster
1000264370,user_116774,2026-03-30,17,76.3,2,1,6,3000.0,2769.73,IOS,7.43.0,iOS 18,BR,Rio de Janeiro,crm_email,email,retargeting_preaprovado,RJ,3
1004518446,user_114318,2026-03-06,18,87.4,2,1,6,30000.0,29128.18,ANDROID,7.41.0,Android 14,BR,Curitiba,paid_search,cpc,cross_sell_folha,PR,3
1006237672,user_118380,2026-03-12,18,85.1,2,1,6,15000.0,14052.79,ANDROID,7.41.0,Android 14,BR,Salvador,crm_email,email,(not set),BA,3
1008949912,user_121319,2026-03-15,20,93.9,2,1,6,1500.0,1456.34,IOS,7.43.0,iOS 18,BR,Porto Alegre,push,push_notification,retargeting_preaprovado,RS,3
1011234720,user_105555,2026-03-09,17,88.4,2,1,6,1000.0,981.08,ANDROID,7.42.0,Android 14,BR,Rio de Janeiro,paid_search,cpc,cross_sell_folha,RJ,3
1014310672,user_128889,2026-03-24,18,103.0,2,1,6,10000.0,9241.79,IOS,7.42.0,iOS 18,BR,Porto Alegre,direct,(none),always_on_credito,RS,3
1022361818,user_109124,2026-03-29,18,88.7,2,1,6,15000.0,14268.88,IOS,7.42.0,iOS 18,BR,Rio de Janeiro,crm_email,email,(not set),RJ,3
1025698659,user_127887,2026-03-31,15,62.9,0,0,5,20000.0,18509.42,IOS,7.43.0,iOS 18,BR,Salvador,organic,organic,campanha_marco_consignado,BA,3
1030498866,user_137856,2026-03-02,18,88.4,2,1,6,30000.0,28294.12,IOS,7.41.0,iOS 18,BR,Curitiba,crm_email,email,retargeting_preaprovado,PR,3
1031414016,user_111160,2026-03-23,17,100.3,2,1,6,1000.0,945.8,ANDROID,7.42.0,Android 14,BR,São Paulo,in_app_banner,app_internal,always_on_credito,SP,3
1031785998,user_127312,2026-03-14,19,74.8,2,1,6,20000.0,18687.51,IOS,7.41.1,iOS 18,BR,Belo Horizonte,organic,organic,campanha_marco_consignado,MG,3
1033946027,user_132800,2026-03-22,20,78.5,2,1,6,5000.0,4842.65,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,crm_email,email,cross_sell_folha,MG,3
1036949225,user_104399,2026-03-11,20,86.0,2,1,6,15000.0,14197.15,IOS,7.41.1,iOS 18,BR,Salvador,push,push_notification,cross_sell_folha,BA,3
1056324491,user_100528,2026-03-17,20,95.5,2,1,6,20000.0,19165.23,IOS,7.41.0,iOS 18,BR,Curitiba,crm_email,email,(not set),PR,3
1060665447,user_104562,2026-03-06,19,80.7,2,1,6,5000.0,4700.2,IOS,7.42.0,iOS 18,BR,São Paulo,crm_email,email,cross_sell_folha,SP,3
1063122513,user_133438,2026-03-28,18,78.1,2,1,6,20000.0,19264.96,IOS,7.43.0,iOS 18,BR,Porto Alegre,organic,organic,retargeting_preaprovado,RS,3
1081093558,user_100766,2026-03-09,20,101.2,2,1,6,1500.0,1389.45,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,in_app_banner,app_internal,retargeting_preaprovado,MG,3
1082155670,user_136288,2026-03-10,18,98.6,2,1,6,10000.0,9623.58,ANDROID,7.41.0,Android 14,BR,São Paulo,organic,organic,cross_sell_folha,SP,3
1096064321,user_120935,2026-03-10,17,78.5,2,1,6,1000.0,920.56,ANDROID,7.43.0,Android 14,BR,Belo Horizonte,organic,organic,(not set),MG,3
1096852184,user_100057,2026-03-17,18,86.4,2,1,6,10000.0,9375.68,IOS,7.41.1,iOS 18,BR,Belo Horizonte,in_app_banner,app_internal,retargeting_preaprovado,MG,3
1101681971,user_106994,2026-03-18,16,65.7,0,0,5,15000.0,14467.02,IOS,7.42.0,iOS 18,BR,Rio de Janeiro,paid_search,cpc,always_on_credito,RJ,3
1104658560,user_139978,2026-03-31,20,105.4,2,1,6,2000.0,1960.29,ANDROID,7.41.1,Android 14,BR,Salvador,paid_search,cpc,campanha_marco_consignado,BA,3
1105383406,user_100961,2026-03-18,16,73.4,0,0,5,5000.0,4729.79,ANDROID,7.43.0,Android 14,BR,Belo Horizonte,paid_search,cpc,always_on_credito,MG,3
1106868297,user_115997,2026-03-03,18,102.0,2,1,6,15000.0,13834.01,ANDROID,7.41.1,Android 14,BR,Salvador,crm_email,email,cross_sell_folha,BA,3
1106911720,user_121746,2026-03-02,21,95.6,2,1,6,1500.0,1407.97,IOS,7.41.0,iOS 18,BR,Belo Horizonte,direct,(none),always_on_credito,MG,3
1112001227,user_127793,2026-03-26,18,86.6,2,1,6,30000.0,29493.02,ANDROID,7.41.1,Android 14,BR,Rio de Janeiro,in_app_banner,app_internal,cross_sell_folha,RJ,3
1121084475,user_110827,2026-03-21,19,92.0,2,1,6,20000.0,19656.92,ANDROID,7.42.0,Android 14,BR,Porto Alegre,direct,(none),retargeting_preaprovado,RS,3
1127574453,user_132163,2026-03-23,17,80.7,0,0,5,2000.0,1878.47,IOS,7.42.0,iOS 18,BR,São Paulo,organic,organic,(not set),SP,3
1143880794,user_130533,2026-03-25,18,83.1,2,1,6,7000.0,6722.47,IOS,7.41.1,iOS 18,BR,Curitiba,direct,(none),always_on_credito,PR,3
1152820283,user_119228,2026-03-21,15,93.9,0,0,5,20000.0,18550.43,IOS,7.41.0,iOS 18,BR,Rio de Janeiro,in_app_banner,app_internal,always_on_credito,RJ,3
1154881600,user_113848,2026-03-11,18,102.8,2,1,6,10000.0,9241.3,ANDROID,7.43.0,Android 14,BR,Curitiba,crm_email,email,(not set),PR,3
1155061947,user_135991,2026-03-02,16,70.6,0,0,5,20000.0,18867.05,IOS,7.41.0,iOS 18,BR,Salvador,push,push_notification,campanha_marco_consignado,BA,3
1156893806,user_123295,2026-03-15,18,76.2,2,1,6,3000.0,2870.5,ANDROID,7.41.0,Android 14,BR,Porto Alegre,crm_email,email,retargeting_preaprovado,RS,3
1162768826,user_134147,2026-03-15,18,86.5,2,1,6,7000.0,6477.91,IOS,7.41.0,iOS 18,BR,Curitiba,organic,organic,campanha_marco_consignado,PR,3
1164979392,user_113661,2026-03-10,16,68.6,0,0,5,1000.0,962.69,IOS,7.41.1,iOS 18,BR,Salvador,paid_search,cpc,campanha_marco_consignado,BA,3
1168458212,user_104626,2026-03-14,19,91.8,2,1,6,1000.0,978.33,ANDROID,7.43.0,Android 14,BR,Salvador,push,push_notification,campanha_marco_consignado,BA,3
1175449895,user_114978,2026-03-17,18,65.1,2,1,6,30000.0,28895.76,IOS,7.42.0,iOS 18,BR,São Paulo,direct,(none),(not set),SP,3
1191385195,user_124746,2026-03-05,21,94.6,2,1,6,20000.0,19432.69,ANDROID,7.41.1,Android 14,BR,São Paulo,paid_search,cpc,(not set),SP,3
1213995304,user_132997,2026-03-26,20,77.2,2,1,6,15000.0,13878.78,IOS,7.41.1,iOS 18,BR,Salvador,in_app_banner,app_internal,campanha_marco_consignado,BA,3
1215271384,user_119792,2026-03-28,18,86.7,2,1,6,1000.0,989.7,ANDROID,7.41.1,Android 14,BR,Curitiba,push,push_notification,always_on_credito,PR,3
1215819746,user_138188,2026-03-09,16,70.5,0,0,5,10000.0,9761.16,ANDROID,7.41.1,Android 14,BR,Rio de Janeiro,in_app_banner,app_internal,(not set),RJ,3
1219487658,user_103290,2026-03-20,16,70.0,0,0,5,1500.0,1384.31,ANDROID,7.41.0,Android 14,BR,Curitiba,paid_search,cpc,always_on_credito,PR,3
1231918076,user_129388,2026-03-19,18,102.2,2,1,6,10000.0,9738.77,IOS,7.41.1,iOS 18,BR,Rio de Janeiro,crm_email,email,(not set),RJ,3
1233463403,user_104657,2026-03-06,16,92.1,0,0,5,30000.0,28069.79,ANDROID,7.43.0,Android 14,BR,Rio de Janeiro,push,push_notification,campanha_marco_consignado,RJ,3
1234328624,user_130621,2026-03-27,18,101.4,2,1,6,10000.0,9838.3,ANDROID,7.41.0,Android 14,BR,Belo Horizonte,crm_email,email,(not set),MG,3
1244629397,user_104141,2026-03-28,18,71.7,2,1,6,30000.0,27664.82,IOS,7.43.0,iOS 18,BR,Curitiba,paid_search,cpc,(not set),PR,3
1247011708,user_102251,2026-03-12,18,86.9,2,1,6,30000.0,28343.55,ANDROID,7.41.0,Android 14,BR,Rio de Janeiro,organic,organic,campanha_marco_consignado,RJ,3
1253920870,user_113117,2026-03-06,16,86.8,0,0,5,7000.0,6722.18,IOS,7.42.0,iOS 18,BR,Salvador,organic,organic,always_on_credito,BA,3
1254301457,user_119982,2026-03-12,20,99.9,2,1,6,30000.0,29071.68,IOS,7.42.0,iOS 18,BR,Curitiba,crm_email,email,campanha_marco_consignado,PR,3
1267082563,user_134104,2026-03-25,18,85.9,2,1,6,15000.0,14592.59,IOS,7.41.1,iOS 18,BR,São Paulo,paid_search,cpc,always_on_credito,SP,3
1267505820,user_109075,2026-03-23,19,100.4,2,1,6,1000.0,980.06,IOS,7.41.1,iOS 18,BR,Belo Horizonte,crm_email,email,always_on_credito,MG,3
1269877154,user_108306,2026-03-27,18,91.3,2,1,6,3000.0,2958.07,IOS,7.43.0,iOS 18,BR,Rio de Janeiro,in_app_banner,app_internal,retargeting_preaprovado,RJ,3
1272017044,user_136337,2026-03-05,18,90.5,2,1,6,1500.0,1420.55,IOS,7.41.0,iOS 18,BR,Belo Horizonte,push,push_notification,retargeting_preaprovado,MG,3
1280642021,user_137640,2026-03-02,18,85.3,2,1,6,10000.0,9740.49,ANDROID,7.41.0,Android 14,BR,Curitiba,direct,(none),retargeting_preaprovado,PR,3
1281061898,user_121098,2026-03-19,20,101.6,2,1,6,20000.0,19118.86,ANDROID,7.41.0,Android 14,BR,Curitiba,in_app_banner,app_internal,cross_sell_folha,PR,3
1282817385,user_125887,2026-03-31,16,67.2,0,0,5,5000.0,4822.74,ANDROID,7.42.0,Android 14,BR,Rio de Janeiro,organic,organic,always_on_credito,RJ,3
