event_date,event_timestamp,event_name,user_pseudo_id,ga_session_id,session_index,event_previous_timestamp,event_bundle_sequence_id,platform,app_version,device_os,country,state,city,traffic_source,traffic_medium,traffic_campaign,firebase_screen,firebase_screen_class,page_path,loan_product,customer_segment,employment_type,preapproved,offer_id,loan_amount_brl,installments,monthly_rate_pct,cet_pct,net_disbursed_brl,biometric_result,document_type,contract_id,error_code,support_channel,engagement_time_msec,is_conversion,activity
20260316,2026-03-16 09:14:03,session_start,user_117999,1016150982,1860,,1,ANDROID,7.43.0,Android 14,BR,PR,Curitiba,push,push_notification,campanha_marco_consignado,,,/session_start,credito_consignado,INSS,INSS,1,of_815392,20000.0,12,1.45,1.75,18526.79,,,,,,5564,0,session_start
20260316,2026-03-16 09:14:05,screen_view,user_117999,1016150982,1860,2026-03-16T09:14:03,2,ANDROID,7.43.0,Android 14,BR,PR,Curitiba,push,push_notification,campanha_marco_consignado,home,HomeActivity,/home,credito_consignado,INSS,INSS,1,of_815392,20000.0,12,1.45,1.75,18526.79,,,,,,4496,0,home
20260316,2026-03-16 09:14:07,screen_view,user_117999,1016150982,1860,2026-03-16T09:14:05,3,ANDROID,7.43.0,Android 14,BR,PR,Curitiba,push,push_notification,campanha_marco_consignado,credito_hub,CreditoHubActivity,/credito/consignado,credito_consignado,INSS,INSS,1,of_815392,20000.0,12,1.45,1.75,18526.79,,,,,,2525,0,credito_hub
20260316,2026-03-16 09:14:14,preapproved_offer_view,user_117999,1016150982,1860,2026-03-16T09:14:07,4,ANDROID,7.43.0,Android 14,BR,PR,Curitiba,push,push_notification,campanha_marco_consignado,,,/credito/consignado/oferta,credito_consignado,INSS,INSS,1,of_815392,20000.0,12,1.45,1.75,18526.79,,,,,,6690,0,preapproved_offer_view
20260316,2026-03-16 09:14:16,offer_unavailable,user_117999,1016150982,1860,2026-03-16T09:14:14,5,ANDROID,7.43.0,Android 14,BR,PR,Curitiba,push,push_notification,campanha_marco_consignado,,,/credito/consignado/indisponivel,credito_consignado,INSS,INSS,1,of_815392,20000.0,12,1.45,1.75,18526.79,,,,NOT_ELIGIBLE,,7132,0,offer_unavailable
20260308,2026-03-08 21:52:50,session_start,user_130763,1025486451,8859,,1,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,,,/session_start,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,,,3603,0,session_start
20260308,2026-03-08 21:52:51,screen_view,user_130763,1025486451,8859,2026-03-08T21:52:50,2,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,home,HomeActivity,/home,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,,,2142,0,home
20260308,2026-03-08 21:52:58,login,user_130763,1025486451,8859,2026-03-08T21:52:51,3,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,,,/login,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,,,3937,0,login
20260308,2026-03-08 21:52:59,screen_view,user_130763,1025486451,8859,2026-03-08T21:52:58,4,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,credito_hub,CreditoHubActivity,/credito/consignado,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,,,1047,0,credito_hub
20260308,2026-03-08 21:53:06,preapproved_offer_view,user_130763,1025486451,8859,2026-03-08T21:52:59,5,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,,,/credito/consignado/oferta,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,,,5916,0,preapproved_offer_view
20260308,2026-03-08 21:53:10,offer_unavailable,user_130763,1025486451,8859,2026-03-08T21:53:06,6,ANDROID,7.43.0,Android 14,BR,BA,Salvador,paid_search,cpc,retargeting_preaprovado,,,/credito/consignado/indisponivel,credito_consignado,Aposentado,INSS,1,of_499317,2000.0,18,1.28,1.78,1867.63,,,,NOT_ELIGIBLE,,1530,0,offer_unavailable
20260302,2026-03-02 15:45:45,session_start,user_123360,1080287388,1580,,1,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,,,/session_start,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,,,1655,0,session_start
20260302,2026-03-02 15:45:49,screen_view,user_123360,1080287388,1580,2026-03-02T15:45:45,2,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,home,HomeActivity,/home,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,,,5319,0,home
20260302,2026-03-02 15:45:56,login,user_123360,1080287388,1580,2026-03-02T15:45:49,3,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,,,/login,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,,,9553,0,login
20260302,2026-03-02 15:46:02,screen_view,user_123360,1080287388,1580,2026-03-02T15:45:56,4,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,credito_hub,CreditoHubActivity,/credito/consignado,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,,,1690,0,credito_hub
20260302,2026-03-02 15:46:05,preapproved_offer_view,user_123360,1080287388,1580,2026-03-02T15:46:02,5,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,,,/credito/consignado/oferta,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,,,5261,0,preapproved_offer_view
20260302,2026-03-02 15:46:11,offer_unavailable,user_123360,1080287388,1580,2026-03-02T15:46:05,6,IOS,7.42.0,iOS 18,BR,MG,Belo Horizonte,crm_email,email,campanha_marco_consignado,,,/credito/consignado/indisponivel,credito_consignado,CLT Conveniado,CLT,1,of_347987,20000.0,12,1.78,2.54,19473.85,,,,NOT_ELIGIBLE,,5841,0,offer_unavailable
20260302,2026-03-02 14:24:04,session_start,user_121961,1104512343,8229,,1,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,,,/session_start,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,,,7528,0,session_start
20260302,2026-03-02 14:24:05,screen_view,user_121961,1104512343,8229,2026-03-02T14:24:04,2,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,home,HomeActivity,/home,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,,,3996,0,home
20260302,2026-03-02 14:24:07,login,user_121961,1104512343,8229,2026-03-02T14:24:05,3,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,,,/login,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,,,2167,0,login
20260302,2026-03-02 14:24:08,screen_view,user_121961,1104512343,8229,2026-03-02T14:24:07,4,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,credito_hub,CreditoHubActivity,/credito/consignado,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,,,5083,0,credito_hub
20260302,2026-03-02 14:24:11,preapproved_offer_view,user_121961,1104512343,8229,2026-03-02T14:24:08,5,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,,,/credito/consignado/oferta,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,,,2569,0,preapproved_offer_view
20260302,2026-03-02 14:24:15,offer_unavailable,user_121961,1104512343,8229,2026-03-02T14:24:11,6,ANDROID,7.42.0,Android 14,BR,RS,Porto Alegre,organic,organic,campanha_marco_consignado,,,/credito/consignado/indisponivel,credito_consignado,Servidor Publico,PUBLICO,1,of_347921,1500.0,48,1.53,2.17,1469.29,,,,NOT_ELIGIBLE,,7827,0,offer_unavailable
20260307,2026-03-07 21:16:30,session_start,user_109763,1152508036,5796,,1,IOS,7.43.0,iOS 18,BR,PR,Curitiba,push,push_notification,(not set),,,/session_start,credito_consignado,Servidor Publico,PUBLICO,1,of_631937,7000.0,48,2.29,2.92,6634.88,,,,,,6078,0,session_start
20260307,2026-03-07 21:16:34,screen_view,user_109763,1152508036,5796,2026-03-07T21:16:30,2,IOS,7.43.0,iOS 18,BR,PR,Curitiba,push,push_notification,(not set),home,HomeActivity,/home,credito_consignado,Servidor Publico,PUBLICO,1,of_631937,7000.0,48,2.29,2.92,6634.88,,,,,,3470,0,home
